gen,nevals,Avg,Std,Min,MinTotal,Max
0,100,540.0,0.0,540.0,648000.0,540.0
1,52,539.96,0.19595917942265423,539.0,646800.0,540.0
2,67,539.79,0.5156549233741494,537.0,644400.0,540.0
3,52,539.35,0.8046738469715542,537.0,644400.0,540.0
4,55,538.68,0.7984985911070851,537.0,644400.0,540.0
5,50,538.06,0.7592101158440923,537.0,644400.0,540.0
6,44,537.37,0.6878226515607058,535.0,642000.0,540.0
7,68,536.76,0.9393614852653903,534.0,640800.0,539.0
8,63,535.8,1.0295630140987,533.0,639600.0,539.0
9,62,534.88,1.193984924527944,532.0,638400.0,538.0
10,55,533.92,1.2544321424453377,531.0,637200.0,537.0
11,51,532.81,1.3393655214316966,528.0,633600.0,537.0
12,42,531.69,1.1635720862928949,528.0,633600.0,534.0
13,50,530.8,1.174734012447073,527.0,632400.0,534.0
14,64,529.93,1.457772273024837,526.0,631200.0,533.0
15,58,528.39,1.5867892109539945,523.0,627600.0,533.0
16,50,526.98,1.5746745695539763,523.0,627600.0,531.0
17,54,525.6,1.7378147196982767,521.0,625200.0,530.0
18,55,523.92,1.6104657711357913,520.0,624000.0,528.0
19,62,522.41,1.6857935816700693,515.0,618000.0,527.0
20,59,521.02,1.4695577566057076,515.0,618000.0,524.0
21,58,519.87,1.494356048604214,514.0,616800.0,524.0
22,60,518.45,1.7684739183827394,513.0,615600.0,522.0
23,58,516.9,1.6643316977093239,514.0,616800.0,521.0
24,48,515.23,1.6784218778364397,510.0,612000.0,519.0
25,46,514.06,1.5672906558772053,509.0,610800.0,518.0
26,64,512.79,1.518519015356739,509.0,610800.0,516.0
27,52,511.39,1.3482952198980758,507.0,608400.0,514.0
28,63,515.55,53.73236920144132,507.0,608400.0,1050.0
29,59,509.0,1.5033296378372907,506.0,607200.0,513.0
30,49,507.68,1.2480384609458155,505.0,606000.0,511.0
31,60,506.72,0.9173875952943773,504.0,604800.0,509.0
32,57,505.96,1.0575443253121828,503.0,603600.0,509.0
33,59,505.06,1.0660206376989145,503.0,603600.0,507.0
34,46,504.09,0.9390953093270139,501.0,601200.0,506.0
35,58,503.34,1.0219589032832974,501.0,601200.0,505.0
36,50,507.82,53.696253128128035,499.0,598800.0,1042.0
37,61,501.72,1.208966500776593,498.0,597600.0,505.0
38,65,500.82,1.1864231959971112,498.0,597600.0,503.0
39,57,499.72,1.1582745788456206,496.0,595200.0,503.0
40,47,498.61,1.3030349189488362,495.0,594000.0,502.0
41,56,497.54,1.3373107342723305,494.0,592800.0,501.0
42,60,501.93,53.902180846418446,491.0,589200.0,1038.0
43,49,495.1,1.4177446878757822,491.0,589200.0,499.0
44,55,493.96,1.4136477637657834,490.0,588000.0,497.0
45,54,492.26,1.5337535656030274,487.0,584400.0,495.0
46,60,490.8,1.6370705543744903,486.0,583200.0,495.0
47,66,489.44,1.3879481258317978,486.0,583200.0,492.0
48,46,488.22,1.21309521472966,485.0,582000.0,491.0
49,68,487.11,1.1652896635600953,484.0,580800.0,489.0
50,60,486.08,1.1285388783732708,483.0,579600.0,489.0
51,46,490.51,53.42592909814482,482.0,578400.0,1022.0
52,64,489.59,53.41948988899091,482.0,578400.0,1021.0
53,57,483.1,0.8306623862918074,481.0,577200.0,485.0
54,62,482.54,0.8991106717195608,480.0,576000.0,486.0
55,50,481.86,0.9488940931421168,480.0,576000.0,485.0
56,56,480.95,1.0523782589924593,477.0,572400.0,483.0
57,62,479.83,1.1229870880824944,477.0,572400.0,483.0
58,52,478.97,1.2996538000559996,476.0,571200.0,483.0
59,49,477.84,1.270590413941487,475.0,570000.0,481.0
60,52,476.92,1.1889491158161478,474.0,568800.0,481.0
61,64,475.95,1.291317157014496,473.0,567600.0,480.0
62,54,480.16,53.36454253528272,471.0,565200.0,1011.0
63,51,473.74,1.18,471.0,565200.0,476.0
64,56,472.55,1.3883443376914821,470.0,564000.0,475.0
65,48,471.35,1.2278029157808672,468.0,561600.0,474.0
66,58,475.66,53.6157103841775,467.0,560400.0,1009.0
67,52,469.3,1.2449899597988732,466.0,559200.0,472.0
68,43,468.22,1.2456323695216016,465.0,558000.0,471.0
69,58,467.03,1.187055179846329,463.0,555600.0,470.0
70,54,466.09,1.3198105924715107,462.0,554400.0,470.0
71,65,464.73,1.2794920867281674,461.0,553200.0,467.0
72,46,463.76,1.0781465577554845,461.0,553200.0,466.0
73,60,468.24,53.65670880700755,460.0,552000.0,1002.0
74,40,467.51,53.83242424413003,457.0,548400.0,1003.0
75,49,460.88,1.5892136420255147,456.0,547200.0,464.0
76,54,464.97,53.896095405882605,456.0,547200.0,1001.0
77,46,463.45,53.84410366976127,454.0,544800.0,999.0
78,63,456.73,1.1389029809426263,454.0,544800.0,460.0
79,57,455.88,0.9516301802696254,452.0,542400.0,458.0
80,58,455.23,1.1987910576910392,452.0,542400.0,458.0
81,51,454.25,1.1521718621802912,452.0,542400.0,457.0
82,57,453.28,1.407693148381422,450.0,540000.0,457.0
83,55,462.86,75.53012908766938,448.0,537600.0,992.0
84,56,450.99,1.090825375575761,448.0,537600.0,454.0
85,50,449.96,1.076289923765897,446.0,535200.0,452.0
86,56,449.16,0.9350935782048767,446.0,535200.0,451.0
87,51,448.37,1.2700787377166818,444.0,532800.0,452.0
88,61,452.58,53.636588258389445,442.0,530400.0,986.0
89,51,445.72,1.7267310155319502,441.0,529200.0,449.0
90,60,460.24,91.76939794942535,441.0,529200.0,983.0
91,55,442.99,1.2766753698571929,437.0,524400.0,446.0
92,58,441.95,1.2757350822173072,437.0,524400.0,445.0
93,59,440.84,1.5793669617919706,436.0,523200.0,444.0
94,52,444.87,53.50582304758987,435.0,522000.0,977.0
95,48,438.03,1.6760369924318497,434.0,520800.0,441.0
96,49,436.4,1.1832159566199232,433.0,519600.0,439.0
97,51,435.32,0.926066952223218,433.0,519600.0,437.0
98,51,434.55,0.9836157786453001,432.0,518400.0,438.0
99,50,433.74,0.9340235543068494,431.0,517200.0,436.0
100,58,438.45,53.83388802603802,431.0,517200.0,974.0
101,61,443.04,107.33982671869747,429.0,514800.0,1511.0
